sku,mpn,manufacturer,description,datasheet,rated_current,poles,packaging_uom,weight_kg,order_code
S204M-K0.5UC,S204M-K0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,4,1 pcs,0.500 kg,2CDS274061R0157
S204M-K0.75UC,S204M-K0.75UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.75 A,4,1 pcs,0.500 kg,2CDS274061R0187
S204M-K1UC,S204M-K1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,4,1 pcs,0.500 kg,2CDS274061R0217
S204M-K1.6UC,S204M-K1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,4,1 pcs,0500 kg,2CDS274061R0257
S204M-K2UC,S204M-K2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,4,1 pcs,0.500 kg,2CDS274061R0277
S204M-K3UC,S204M-K3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,4,1 pcs,0.500 kg,2CDS274061R0317
S204M-K4UC,S204M-K4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,4,1 pcs,0.500 kg,2CDS274061R0337
S204M-K5UC,S204M-K5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,4,1 pcs,0.500 kg,2CDS274061R0357
S204M-K6UC,S204M-K6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,4,1 pcs,0.500 kg,2CDS274061R0377
S204M-K8UC,S204M-K8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,80 A,4,1 pcs,0.500 kg,2CDS274061R0407
S204M-K10UC,S204M-K10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,01 A,4,1 pcs,0.500 kg,2CDS274061R0427
S204M-K13UC,S204M-K13UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,13 A,4,1 pcs,0.500 kg,2CDS274061R0447
S204M-K15UC,S204M-K15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,51 A,4,1 pcs,0.500 kg,2CDS274061R0457
S204M-K16UC,S204M-K16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,4,1 pcs,0.500 kg,2CDS274061R0467
S204M-K20UC,S204M-K20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,4P,1 pcs,0.500 kg,2CDS274061R0487
S204M-K25UC,S204M-K25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,4,1 pcs,0.500 kg,2CDS274061R0517
S204M-K30UC,S204M-K30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,03 A,4,1 pcs,0.500 kg,2CDS274061R0527
S204M-K32UC,S204M-K32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,23 A,4,1 pcs,0.500 kg,2CDS274061R0537
S204M-K35UC,S204M-K35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,4,1 pcs,0.500 kg,2CDS274061R0547
S204M-K40UC,S204M-K40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,4,1 pcs,0.500 kg,2CDS274061R0557
S204M-K50UC,S204M-K50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,4,1 pcs,0.500 kg,2CDS274061R0577
S204M-K60UC,S204M-K60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,4,1 pcs,0.500 kg,2CDS274061R0587
S204M-K63UC,S204M-K63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,4,1 pcs,0.500 kg,2CDS274061R0607
S201M-Z0.5UC,S201M-Z0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,1,10 pcs,0.125 kg,2CDS271061R0158
S201M-Z1UC,S201M-Z1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,1,10 pcs,0.125 kg,2CDS271061R0218
S201M-Z1.6UC,S201M-Z1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6.1 A,1,10 pcs,0.125 kg,2CDS271061R0258
S201M-Z2UC,S201M-Z2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,1,10 pcs,0.125 kg,2CDS271061R0278
S201M-Z3UC,S201M-Z3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,1,10 pcs,0.125 kg,2CDS271061R0318
S201M-Z4UC,S201M-Z4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,1,10 pcs,0.125 kg,2CDS271061R0338
S201M-Z5UC,S201M-Z5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,1,10 pcs,0.125 kg,2CDS271061R0358
S201M-Z6UC,S201M-Z6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,1,10 pcs,125 g,2CDS271061R0378
S201M-Z8UC,S201M-Z8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,1,10 pcs,0.125 kg,2CDS271061R0408
S201M-Z10UC,S201M-Z10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,1,10 pcs,125 g,2CDS271061R0428
S201M-Z15UC,S201M-Z15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,15 A,1,10 pcs,0.125 kg,2CDS271061R0458
S201M-Z16UC,S201M-Z16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,1,Each,0.125 kg,2CDS271061R0468
S201M-Z20UC,S201M-Z20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,1,10 pcs,0.125 kg,2CDS271061R0488
S201M-Z25UC,S201M-Z25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,1,10 pcs,0.125 kg,2CDS271061R0518
S201M-Z30UC,S201M-Z30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,1,10 pcs,0.125 kg,2CDS271061R0528
S201M-Z32UC,S201M-Z32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,1,Each,0.125 kg,2CDS271061R0538
S201M-Z35UC,S201M-Z35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,1,10 pcs,0.125 kg,2CDS271061R0548
S201M-Z40UC,S201M-Z40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,04 A,1,10 pcs,0.125 kg,2CDS271061R0558
S201M-Z50UC,S201M-Z50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,1,10 pcs,0.125 kg,2CDS271061R0578
S201M-Z60UC,S201M-Z60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,1,10 pcs,0.125 kg,2CDS271061R0588
S201M-Z63UC,S201M-Z63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,36 A,1,10 pcs,0.125 kg,2CDS271061R0608
S202M-Z0.5UC,S202M-Z0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,2,5 pcs,0.250 kg,2CDS272061R0158
S202M-Z1UC,S202M-Z1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,2,5 pcs,0250 kg,2CDS272061R0218
S202M-Z1.6UC,S202M-Z1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,2,5 pcs,0.250 kg,2CDS272061R0258
S202M-Z2UC,S202M-Z2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,2,5 pcs,0250 kg,2CDS272061R0278
S202M-Z3UC,S202M-Z3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,2,5 pcs,0.250 kg,2CDS272061R0318
S202M-Z4UC,S202M-Z4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,2,5 pcs,0.250 kg,2CDS272061R0338
S202M-Z5UC,S202M-Z5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,,2,5 pcs,0.250 kg,2CDS272061R0358
S202M-Z6UC,S202M-Z6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,2,Each,0.250 kg,2CDS272061R0378
S202M-Z8UC,S202M-Z8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,2,5 pcs,0.250 kg,2CDS272061R0408
S202M-Z10UC,S202M-Z10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,2,5 pcs,250 g,2CDS272061R0428
S202M-Z15UC,S202M-Z15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,51 A,2,5 pcs,0.250 kg,2CDS272061R0458
S202M-Z16UC,S202M-Z16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,2,5 pcs,0.250 kg,2CDS272061R0468
S202M-Z20UC,S202M-Z20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,2,5 pcs,0.250 kg,2CDS272061R0488
S202M-Z25UC,S202M-Z25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,2,5 pcs,0.250 kg,2CDS272061R0518
S202M-Z30UC,S202M-Z30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,2,5 pcs,0.250 kg,2CDS272061R0528
S202M-Z32UC,S202M-Z32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,23 A,2,5 pcs,0.250 kg,2CDS272061R0538
S202M-Z35UC,S202M-Z35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,2P,5 pcs,0.250 kg,2CDS272061R0548
S202M-Z40UC,S202M-Z40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,2,5 pcs,0.250 kg,2CDS272061R0558
S202M-Z50UC,S202M-Z50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,2,5 pcs,0.250 kg,2CDS272061R0578
S202M-Z60UC,S202M-Z60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,2,5 pcs,0.250 kg,2CDS272061R0588
S202M-Z63UC,S202M-Z63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,2,5 pcs,0.250 kg,2CDS272061R0608
S203M-Z0.5UC,S203M-Z0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,0.5 A,3,1 pcs,0.375 kg,2CDS273061R0158
S203M-Z1UC,S203M-Z1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,3,1 pcs,0.375 kg,2CDS273061R0218
S203M-Z1.6UC,S203M-Z1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,3P,1 pcs,0.375 kg,2CDS273061R0258
S203M-Z2UC,S203M-Z2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,3,1 pcs,0.375 kg,2CDS273061R0278
S203M-Z3UC,S203M-Z3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,3,1 pcs,0.375 kg,2CDS273061R0318
S203M-Z4UC,S203M-Z4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,3,1 pcs,0.375 kg,2CDS273061R0338
S203M-Z5UC,S203M-Z5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5 A,3,1 pcs,0.375 kg,2CDS273061R0358
S203M-Z6UC,S203M-Z6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,3,1 pcs,0.375 kg,2CDS273061R0378
S203M-Z8UC,S203M-Z8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,3,1 pcs,0.375 kg,2CDS273061R0408
S203M-Z10UC,S203M-Z10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,3,1 pcs,0.375 kg,2CDS273061R0428
S203M-Z15UC,S203M-Z15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,15 A,3,1 pcs,0.375 kg,2CDS273061R0458
S203M-Z16UC,S203M-Z16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,3,1 pcs,0.375 kg,2CDS273061R0468
S203M-Z20UC,S203M-Z20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,3,1 pcs,375 g,2CDS273061R0488
S203M-Z25UC,S203M-Z25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,3,1 pcs,0.375 kg,2CDS273061R0518
S203M-Z30UC,S203M-Z30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,3,1 pcs,0.375 kg,2CDS273061R0528
S203M-Z32UC,S203M-Z32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,3,1 pcs,0.375 kg,2CDS273061R0538
S203M-Z35UC,S203M-Z35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,3,1 pcs,0.375 kg,2CDS273061R0548
S203M-Z40UC,S203M-Z40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,40 A,3,1 pcs,0.375 kg,2CDS273061R0558
S203M-Z50UC,S203M-Z50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,3,1 pcs,0.375 kg,2CDS273061R0578
S203M-Z60UC,S203M-Z60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,3,1 pcs,0.375 kg,2CDS273061R0588
S203M-Z63UC,S203M-Z63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,3,1 pcs,0.375 kg,2CDS273061R0608
S204M-Z0.5UC,S204M-Z0.5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,5.0 A,4,1 pcs,0.500 kg,2CDS274061R0158
S204M-Z1UC,S204M-Z1UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1 A,4,1 pcs,500 g,2CDS274061R0218
S204M-Z1.6UC,S204M-Z1.6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,1.6 A,4,1 pcs,0500 kg,2CDS274061R0258
S204M-Z2UC,S204M-Z2UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,2 A,4P,1 pcs,0.500 kg,2CDS274061R0278
S204M-Z3UC,S204M-Z3UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,3 A,4,1 pcs,0.500 kg,2CDS274061R0318
S204M-Z4UC,S204M-Z4UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,4 A,4P,1 pcs,0.500 kg,2CDS274061R0338
S204M-Z5UC,S204M-Z5UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,4,1 pcs,0.500 kg,2CDS274061R0358
S204M-Z6UC,S204M-Z6UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,6 A,4,1 pcs,0.500 kg,2CDS274061R0378
S204M-Z8UC,S204M-Z8UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,8 A,4,1 pcs,0500 kg,2CDS274061R0408
S204M-Z10UC,S204M-Z10UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,10 A,4P,1 pcs,0.500 kg,2CDS274061R0428
S204M-Z15UC,S204M-Z15UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,51 A,4,1 pcs,0.500 kg,2CDS274061R0458
S204M-Z16UC,S204M-Z16UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,16 A,4P,1 pcs,0.500 kg,2CDS274061R0468
S204M-Z20UC,S204M-Z20UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,20 A,4,1 pcs,0.500 kg,2CDS274061R0488
S204M-Z25UC,S204M-Z25UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,25 A,4,1 pcs,0.500 kg,2CDS274061R0518
S204M-Z30UC,S204M-Z30UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,30 A,4,1 pcs,0.500 kg,2CDS274061R0528
S204M-Z32UC,S204M-Z32UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,32 A,4P,1 pcs,0.500 kg,2CDS274061R0538
S204M-Z35UC,S204M-Z35UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,35 A,4P,1 pcs,0.500 kg,2CDS274061R0548
S204M-Z40UC,S204M-Z40UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,04 A,4,1 pcs,0.500 kg,2CDS274061R0558
S204M-Z50UC,S204M-Z50UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,50 A,4,1 pcs,0.500 kg,2CDS274061R0578
S204M-Z60UC,S204M-Z60UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,60 A,4,1 pcs,0.500 kg,2CDS274061R0588
S204M-Z63UC,S204M-Z63UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,63 A,4,Each,0.500 kg,2CDS274061R0608
S201M-B100UC,S201M-B100UC,ABB,Miniature circuit breaker,abb-s200-2CDC002142D0207.pdf,100 A,1,10 pcs,0.125 kg,2CDS271061R1005
S201MUC-K0.2,S201MUC-K0.2,ABB,Miniature circuit breaker,abb-s200muc-1SXP403008B0202.pdf,0.2 A,1,10 pcs,0.125 kg,2CDS271061R0009
S201M-B16UC-NODOC,S201M-B16UC-NODOC,ABB,Miniature circuit breaker,abb-s200-does-not-exist.pdf,16 A,1,10 pcs,0.125 kg,2CDS271061R0165
